,ISO_A2,x,y,,,,,,
89,AT,14.65,47.1,,,,,14.130673,47.585657
60,BE,3.1,53.2,,,,,4.639961,50.637462
109,BG,24.8,42.1,,,,,25.217513,42.768523
131,BA,17,42,,,,,17.478921,44.294866
92,CH,6.1,47.6,,,,,8.215354,46.798957
49,CZ,14.5,49.3,,,,,15.314103,49.732448
50,DE,9.9,50.8,,,,,10.381494,51.106363
71,DK,4.7,56.6,,,,,10.05139,55.965378
67,ES,-3.8,39.9,,,,,-3.652637,40.227234
51,EE,29.7,58.4,,,,,25.535793,58.671014
55,FI,26,62,,,,,26.270795,64.495359
22,FR,2.1,46,,,,,-2.755221,42.180107
79,GB,-1.5,52.124772,,,,,-2.886951,54.147048
80,GR,18.8,35.3,,,,,22.974819,39.051181
75,HU,19,46.5,,,,,19.396759,47.163244
78,IE,-7.7,52.8,,,,,-8.145045,53.178221
91,IT,10.3,44.6,,,,,12.071907,42.786434
44,LT,24,54.8,,,,,23.888249,55.327024
52,LV,28.3,54.4,,,,,24.908622,56.851819
62,MK,18,38,,,,,21.68383,41.595005
130,ME,17.5,40.05,,,,,19.2385,42.785818
94,NL,5,55,,,,,5.216814,52.069792
53,NO,9.7,60.7,,,,,15.409599,68.794273
77,PL,19,51.7,,,,,19.394322,52.124772
139,PT,-8,34.5,,,,,-8.590838,39.587147
74,RO,24.4,45.3,,,,,24.972942,45.853464
97,RS,20.8,43.5,,,,,20.790402,44.221376
76,SK,24.6,48.9,,,,,19.480383,48.704935
104,SI,13.6,44,,,,,14.80809,46.116111
54,SE,14.6,58.8,,,,,16.754466,62.7771
103,HR,14,42.3,,,,,,
63,AL,17.8,37.7,,,,,,
35,BY,28.2,53.5,,,,,,
34,UA,28.7,49.6,,,,,,
219,MT,14,34.1,,,,,,
140,MD,28.46,47.2,,,,,,
58,LU,8.5,49.77,,,,,,
48,RU,33,61,,,,,,
