index,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
AL,,,,,,,,,,,,,,,,,,,,
AT,1.7134760000000204,,,8.80096700000018,0.3316380000000002,,,,,5.665850750000006,28.398069249999864,5.277850250000035,,,0.19322599999994694,,0.9233179999999875,0.8783000000007474,,7.2421690000002386
BA,,1.994749491091882,,,8.493591289173148,,,,,,,4.185407462768404,,,,,,,,0.15026097396071533
BE,2.3703329310031,,,23.77492438557436,,0.0013370761129452655,,,,2.0953536237873607,0.14966351958328455,,,32.78982555806665,5.401204463110553,,4.259811489411799,2.0506197313560306,7.568436676537061,4.090487850677445
BG,0.2537953862621598,14.554273616519277,,2.193629465101596,0.4835664117208154,,,,,0.45038149971306596,1.089477671622085,1.8297086213983127,,16.613218378888703,,,1.4302054143232077,0.03715214361763551,,1.429882395935328
BY,,,,,,,,,,,,,,,,,,,,
CH,,,,,,,,,,6.887972097233282,2.065465576454518,11.864186367812794,,23.394958756062792,,,2.3727150666057226,,,0.12764626625298678
CY,,,,,,4.271708258459268,,,,,,,,,,,,,,0.2328581853318503
CZ,2.329222590800403,26.394409499544437,2.1496513687236636,5.411038022885143,1.694512459979507,0.1058210238528942,,,,1.2987999340771008,1.0579752251508614,1.033561835420701,,28.34905976784708,0.889414629853133,2.387048882557209,2.1601959689740875,0.18958779226916053,,0.6859470474780821
DE,40.27972749999998,83.36259350000006,,59.12051125000055,34.866314999999766,3.8890695000002786,,,0.19776850000001533,10.569763499999961,14.369531999999943,1.2124492499999977,,60.9147597499999,2.6282387499999613,1.40974099999988,45.822807999999775,3.8256335000000017,26.86521849999994,103.10201650000052
DK,3.0451667293018736,,,1.8259126996355795,3.8604482670803915,0.2483746935428814,,,,,,,,,,,1.2483663157384048,1.2588899866203613,6.315284485195293,10.104587608403582
EE,0.5768865529673127,,0.44573536103200134,0.02284270287048456,,,2.2023343092607304,0.02682574347875535,,,0.012942630823556059,,,,,0.04055077514523418,0.016278192982456457,0.13476104134867567,,0.8815590093984982
ES,3.8324084785925776,,,61.574207319744765,5.138006441755832,1.8436838546458572,,,,,10.102930325381436,23.591518835686564,,55.8167970994647,0.4314856868594887,0.8835608898884085,20.03435936267384,2.2919114005921086,,53.15200301992728
