geography,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Offshore,Wind Onshore
AT,113.09572457611308,,,584.4272697260309,983.9071923245376,1019.2089886066198,,,457.1114707153127,6.124798235369195,8.276164983597866,,131.53692585040687,,,19.340832458616905
BE,86.3083968969784,,995.8558245419132,491.13886891513226,1097.032589259853,920.4263122737658,,,448.2368269014385,9.192443678400773,,14.8994383885413,125.74447476549658,,19.50032063202299,19.950977423094557
BG,171.79343033613327,1146.4417106985065,,939.4598461427083,1481.2538996848753,1020.9677644749679,,,894.5668149674123,4.6724870850665035,,12.60031756423998,84.47653976118191,,,18.641237844595597
CH,218.8020552903829,,,631.0361157218806,,,,,168.44410552082988,6.291676502552191,9.06704582603725,14.853040460320276,138.45398267298822,,,55.74454925405739
CY,270.8461415486093,,,,,1072.600991104684,,,,,,,71.67221970175427,,,25.769390554152817
CZ,69.55035635872134,1326.2575662188815,1193.157633822504,879.644834887882,1456.608196999004,1254.4910976433168,,,1160.781652760083,9.835597535704023,55.71401972724627,16.04159582143633,131.56142237395468,,,27.84497027814678
DE,227.51639763696113,1227.1305360850506,924.6770831757515,546.1553268233474,1068.290754653592,840.7685564115674,,77.76804239326515,977.3725697948489,6.463849311932655,52.34227134064307,12.711412317455789,120.79693255272477,,16.71231879294449,20.55723116876622
DK,75.53695415879521,,,505.77578150097315,991.0320480845062,1025.5863308049536,,,,5.6243704849215455,,,112.55842848538578,,16.37948890946834,13.85440804342991
EE,60.40846798331211,,1186.5038551258651,564.3373865221437,1128.995092825912,1176.653794315504,1321.194057254086,,,5.163872469490799,,,,,,19.54409563345356
ES,85.8166741162,1072.329072238814,765.1089245795748,482.63942147766085,1149.7476926601892,867.1906367688493,,,532.6872139706869,6.262246236731361,52.14066826985047,14.106519271595014,161.35276744684117,,17.06816109551909,15.280270452689004
FI,63.004273500870305,,1186.7798654378842,542.4940385557934,1029.4610064297221,696.5732986356128,1067.151634751975,,,5.928229788631408,51.806651932625165,14.162617458990812,114.46092929334883,,18.772055176858043,25.803280658430523
FR,115.75133010935309,,1242.545354035155,646.0416911885965,1071.657865604323,930.2200751098518,,,86.4188009966902,6.018810994417841,8.170177609625647,12.568707718165749,102.46718111247424,,17.41959684867616,16.961332515933684
GB,56.22024344367749,,,516.9493985065112,1064.798296764251,1330.138171114857,,,809.5738528837211,14.9362776731248,,14.995421697406279,117.9055594298692,,21.29841402025168,19.219214525127928
GR,272.49254495074024,1406.123815617402,,677.8551275600397,,997.205121435668,,,1422.048333216095,6.160381946384718,,,83.92934608596678,,,16.462676094946463
HR,206.22130228609714,,,585.0784898335065,1116.4529471162762,825.8642638982104,,,547.6304830573225,7.565517525914562,9.716884207222565,,79.85294082360898,,,17.272456004587706
HU,70.08984633811541,1413.9323099463743,1191.7370433603448,682.4683896039745,,1100.0427838479497,,,,9.575313582876856,,16.02285898673976,105.9860659567786,,,17.96869755933148
IE,143.21012394753575,,,459.82582264481465,1032.8320526278349,935.4254261236749,1044.138885923433,,800.8961934797392,7.788991908653268,,,,,16.57669196557627,14.317099412069656
IT,218.92379732856884,1155.674234759432,1060.028714855065,557.6513610548766,1079.822461924555,941.0169540596986,,79.04190033810188,625.9560733711664,7.681302732299413,9.832669347383357,,93.35621059160417,,,22.1852454077148
LT,65.79985184728228,,,633.1051986947907,,1537.003459127891,1190.769074263772,,939.8897449585264,7.0199659811781485,,,121.59700135179652,,,15.603512112695842
LU,52.261445484418644,,,505.56055493937333,,,,,819.2093039942622,11.57918732201498,,,128.8331347666427,,,57.869926310452776
LV,152.2277084362116,,,638.1112991590736,,,,,,5.1649751588135615,,,,,,21.440119160780313
NL,62.22994132086217,,867.7886978677394,461.0260618012837,999.7561256337898,1083.886528864276,,,,8.847733570392345,,12.87917014280488,119.84569309043022,,15.66787979509296,16.07349522076908
NO,267.3606867709516,,,452.0683122900653,1396.3404198467751,,,,43.42931033235404,,6.564648467528559,,,,15.58824921943225,13.947217510291559
PL,53.771712347438346,1157.713344024378,1185.895739920454,602.9704649936582,1182.3607356083462,881.8301030424439,,,1450.3243981155608,5.879375677729413,,,109.12895921792351,,,17.14773757783522
PT,58.56551982980499,,,443.59071640121437,1067.120690105831,798.0841250506712,,78.3140985417329,564.5666232538834,6.465255058433459,52.34367711599192,,78.02852911302533,,17.50609698655301,15.267448069665994
RO,60.21349835920936,1173.2770535646955,,685.9022839140235,,1241.254541524727,,,630.4044232938229,5.088520029279485,,14.40212646383121,98.76201021276172,,,25.117271349957292
SE,56.44559365743623,,1186.176925067681,597.5111016941046,1282.156346018854,840.5883778053336,1190.616719586539,,112.1827176519084,4.918267919389962,50.79668996947025,13.52658879446119,123.90968945034386,,16.23447722408871,16.37384456607367
SI,204.96494178784826,1254.3218488229215,,586.5728985935147,,973.7020603754949,,,477.22419291727095,14.31181676121048,,22.34850067517836,95.89048116145932,,,
SK,116.83855062140972,1565.662981626836,,721.295839509668,1409.90511791984,1399.71599796158,,,718.2477707624649,19.208791445406398,65.08721474707649,27.2634716382783,110.95295802191154,,,
TR,263.2052674378508,1279.0117345287692,1646.3804314695628,456.4693890621157,1095.486823257147,962.842702153253,,75.48131535951138,,4.813146830091764,50.96453520833773,,77.15040668046208,,,13.041198765637533
