geography,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
AL,,,,,,,,,,,,,,,0.0,0.0,,,,
AT,113.09572457611308,,,584.4272697260309,983.9071923245376,1019.2089886066198,1019.2089886066198,,,457.1114707153127,6.124798235369195,8.276164983597866,0.0,,598.9338341258622,65.12790286978316,131.53692585040687,0.0,,19.340832458616905
BA,,1264.8230173443385,,,1151.667540730953,,,,,,,34.48737991090261,,,1173.1882782925625,34.03306847637562,,,,21.37856199761801
BE,86.3083968969784,,995.8558245419132,491.13886891513226,1097.032589259853,920.4263122737658,920.4263122737658,,,448.2368269014385,9.192443678400773,,0.0,14.8994383885413,215.08594244346946,84.57112589457465,125.74447476549658,0.0,19.50032063202299,19.950977423094557
BG,171.79343033613327,1146.4417106985065,,939.4598461427083,1481.2538996848753,1020.9677644749679,1020.9677644749679,,,894.5668149674123,4.6724870850665035,34.48737991090261,0.0,12.60031756423998,581.2454136789975,101.5493075287191,84.47653976118191,0.0,,18.641237844595597
BY,,,,,,,,,,,,,,,0.0,0.0,,,,
CH,218.8020552903829,,,631.0361157218806,,,,,,168.44410552082988,6.291676502552191,9.06704582603725,0.0,14.853040460320276,14.853040460320276,69.32134444016592,138.45398267298822,0.0,,55.74454925405739
CY,270.8461415486093,,,,,1072.600991104684,1072.600991104684,,,,,,0.0,,1072.600991104684,25.769390554152817,71.67221970175427,0.0,,25.769390554152817
CZ,69.55035635872134,1326.2575662188815,1193.157633822504,879.644834887882,1456.608196999004,1254.4910976433168,1254.4910976433168,,,1160.781652760083,9.835597535704023,55.71401972724627,0.0,16.04159582143633,708.0035237248327,233.10588636899834,131.56142237395468,0.0,,27.84497027814678
DE,227.51639763696113,1227.1305360850506,924.6770831757515,546.1553268233474,1068.290754653592,840.7685564115674,840.7685564115674,,77.76804239326515,977.3725697948489,6.463849311932655,52.34227134064307,0.0,12.711412317455789,726.3055476692875,112.77531069321384,120.79693255272477,0.0,16.71231879294449,20.55723116876622
DK,75.53695415879521,,,505.77578150097315,991.0320480845062,1025.5863308049536,1025.5863308049536,,,,5.6243704849215455,,0.0,,843.1816263332762,27.942960843801274,112.55842848538578,0.0,16.37948890946834,13.85440804342991
EE,60.40846798331211,,1186.5038551258651,564.3373865221437,1128.995092825912,1176.653794315504,1176.653794315504,1321.194057254086,,,5.163872469490799,,0.0,,1174.5338549102553,33.23609496790204,109.23887653735162,0.0,,19.54409563345356
ES,85.8166741162,1072.329072238814,765.1089245795748,482.63942147766085,1149.7476926601892,867.1906367688493,867.1906367688493,,,532.6872139706869,6.262246236731361,52.14066826985047,0.0,14.106519271595014,305.6278312279022,50.148213462310025,161.35276744684117,0.0,17.06816109551909,15.280270452689004
FI,63.004273500870305,,1186.7798654378842,542.4940385557934,1029.4610064297221,696.5732986356128,696.5732986356128,1067.151634751975,,,5.928229788631408,51.806651932625165,0.0,14.162617458990812,267.602877268344,23.35638436478284,114.46092929334883,0.0,18.772055176858043,25.803280658430523
FR,115.75133010935309,,1242.545354035155,646.0416911885965,1071.657865604323,930.2200751098518,930.2200751098518,,,86.4188009966902,6.018810994417841,8.170177609625647,0.0,12.568707718165749,79.47638188393384,27.711942388170606,102.46718111247424,0.0,17.41959684867616,16.961332515933684
GB,56.22024344367749,,,516.9493985065112,1064.798296764251,1330.138171114857,1330.138171114857,,,809.5738528837211,14.9362776731248,,0.0,14.995421697406279,371.17099324014185,53.79668796888373,117.9055594298692,0.0,21.29841402025168,19.219214525127928
GR,272.49254495074024,1406.123815617402,,677.8551275600397,,997.205121435668,997.205121435668,,,1422.048333216095,6.160381946384718,34.48737991090261,0.0,,849.8811595653027,84.18767918918171,83.92934608596678,0.0,,16.462676094946463
HR,206.22130228609714,,,585.0784898335065,1116.4529471162762,825.8642638982104,825.8642638982104,,77.65133915815282,547.6304830573225,7.565517525914562,9.716884207222565,0.0,,731.750617023843,55.84316668675943,79.85294082360898,0.0,,17.272456004587706
HU,70.08984633811541,1413.9323099463743,1191.7370433603448,682.4683896039745,1151.667540730953,1100.0427838479497,1100.0427838479497,,77.65133915815282,,9.575313582876856,34.48737991090261,0.0,16.02285898673976,409.2140639556088,71.14253794688443,105.9860659567786,0.0,,17.96869755933148
IE,143.21012394753575,,,459.82582264481465,1032.8320526278349,935.4254261236749,935.4254261236749,1044.138885923433,77.65133915815282,800.8961934797392,7.788991908653268,34.48737991090261,0.0,15.558785826629682,934.4990697880258,103.28261443007355,109.23887653735162,0.0,16.57669196557627,14.317099412069656
IT,218.92379732856884,1155.674234759432,1060.028714855065,557.6513610548766,1079.822461924555,941.0169540596986,941.0169540596986,,79.04190033810188,625.9560733711664,7.681302732299413,9.832669347383357,0.0,,635.0286802862377,68.3086774569847,93.35621059160417,0.0,,22.1852454077148
LT,65.79985184728228,,,633.1051986947907,,1537.003459127891,1537.003459127891,1190.769074263772,,939.8897449585264,7.0199659811781485,,0.0,,633.1051986947907,249.24477506304882,121.59700135179652,0.0,,15.603512112695842
