,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Offshore,Wind Onshore
0,,,,,RO,,,HR,,NO,BG,,EE,AT,,
1,,,,,,,,HU,,,GR,,,BE,,
2,,,,,,,,,,,HU,,,BG,,
3,,,,,,,,,,,RO,,,CZ,,
4,,,,,,,,,,,,,,DE,,
5,,,,,,,,,,,,,,DK,,
6,,,,,,,,,,,,,,EE,,
7,,,,,,,,,,,,,,ES,,
8,,,,,,,,,,,,,,FI,,
9,,,,,,,,,,,,,,FR,,
10,,,,,,,,,,,,,,HR,,
11,,,,,,,,,,,,,,HU,,
12,,,,,,,,,,,,,,IT,,
