index,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615899751724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041272709007486114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30309401142857145,0.0,0.0,0.0,0.0,0.0,0.0
AT,0.0,0.0,0.0,0.0,0.0,0.0,3.4935008672435384,0,0.04393650108163498,3.176358813958784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.244561061889251,0.0,1.1557967936354323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76333385709394,0.0,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8750678131617897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8156848488080297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0443724508140726,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.455194402317177,0.0,0.0,0.0,0.0,3.80707471740863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4426850496413524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8629160463395193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8546835777069337,0.0,0.0,0.0,0.0,0.0,0.8168695002277127,0.7736030372879424,0.0,0.0,0.0,0.0,1.6991197222475236,0.0
BY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2512691533075255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06420021873035826
CH,0.0,1.0440274311738587,0.0,0.0,0.0,0.0,0.0,0,0.0,5.89695068342252,0.0,0.0,0.0,0.0,2.313477694523512,0.0,0.0,0.0,0.0,0.0,17.884916097347148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,8.364058123306387,0.0,0.0,0.0,0.0,0.0,0,0.0,3.1854973341682795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5343984205852214,0.0,0.0,0.0,0.0,0.0,0.0,9.769620134805875,0.0,0.0
DE,0.0,11.567473477456451,0.0,1.231044498565051,0.0,0.0,11.027927763862005,0,9.16535073682113,0.0,3.2864310798132754,0.0,0.0,0.0,2.417212599624274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5873472094386885,0.0,0.0,0.0,0.0,0.0,7.6618191484117055,0.1522590247933884,11.233973492997837,0.0,0.0,0.0,0.0,0.3856479529773426,0.0,0.0,0.0,0.0
