geography,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Solar,Waste,Wind Offshore,Wind Onshore,Other,Other renewable
AL,,,,,,,,,,,,,,,,,,,0,0
AT,113.0957246,,,584.4272697,983.9071923,1019.208989,1019.208989,,,457.1114707,6.124798235,8.276164984,0,,131.5369259,0,,19.34083246,630.006389,56.80857796
BA,,1264.823017,,,1151.667541,,,,,,,34.48737991,,,,,,21.378562,1175.664047,34.08766257
BE,86.3083969,,995.8558245,491.1388689,1097.032589,920.4263123,920.4263123,,,448.2368269,9.192443678,,0,14.89943839,125.7444748,0,19.50032063,19.95097742,185.1913171,93.17412275
BG,171.7934303,1146.441711,,939.4598461,1481.2539,1020.967764,1020.967764,,,894.566815,4.672487085,34.48737991,0,12.60031756,84.47653976,0,,18.64123784,640.8926594,100.1093724
BY,,,,,,,,,,,,,,,,,,,0,0
CH,218.8020553,,,631.0361157,,,,,,168.4441055,6.291676503,9.067045826,0,14.85304046,138.4539827,0,,55.74454925,14.85304046,67.12613749
CY,270.8461415,,,,,1072.600991,1072.600991,,,,,,0,,71.6722197,0,,25.76939055,0,0
CZ,69.55035636,1326.257566,1193.157634,879.6448349,1456.608197,1254.491098,1254.491098,,,1160.781653,9.835597536,55.71401973,0,16.04159582,131.5614224,0,,27.84497028,751.5670127,226.6111788
DE,227.5163976,1227.130536,924.6770832,546.1553268,1068.290755,840.7685564,840.7685564,,77.76804239,977.3725698,6.463849312,52.34227134,0,12.71141232,120.7969326,0,16.71231879,20.55723117,758.6983211,108.494064
DK,75.53695416,,,505.7757815,991.0320481,1025.586331,1025.586331,,,,5.624370485,,0,,112.5584285,0,16.37948891,13.85440804,802.7619404,28.44978098
EE,60.40846798,,1186.503855,564.3373865,1128.995093,1176.653794,1176.653794,1321.194057,,,5.163872469,,0,,109.2388765,0,,19.54409563,1176.626294,34.70725727
ES,85.81667412,1072.329072,765.1089246,482.6394215,1149.747693,867.1906368,867.1906368,,,532.687214,6.262246237,52.14066827,0,14.10651927,161.3527674,0,17.0681611,15.28027045,359.4714327,59.5640417
FI,63.0042735,,1186.779865,542.4940386,1029.461006,696.5732986,696.5732986,1067.151635,,,5.928229789,51.80665193,0,14.16261746,114.4609293,0,18.77205518,25.80328066,322.5542722,25.26025894
FR,115.7513301,,1242.545354,646.0416912,1071.657866,930.2200751,930.2200751,,,86.418801,6.018810994,8.17017761,0,12.56870772,102.4671811,0,17.41959685,16.96133252,77.41330047,29.41899719
GB,56.22024344,,,516.9493985,1064.798297,1330.138171,1330.138171,,,809.5738529,14.93627767,,0,14.9954217,117.9055594,0,21.29841402,19.21921453,385.1996012,58.29467071
